name_en,name_br,name_fr,name_ge,name_po,name_ru,name_sc,name_sp
Relatively Flat,Relativamente Plano,Relativement plat,Relativ flach,Względnie płaski,Относительно плоский,相对平坦,Relativamente plano
Rough,Irregular,Irrégulier,Uneben,Nierówny,Неровный,崎岖不平,Áspero
Steep,Íngreme,Raide,Abschüssig,Stromy,Холмистый,山势险峻,Escarpado
Mountainous,Montanhoso,Montagneux,Gebirgig,Górzysty,Горы,山地,Montañoso
Dust Devils,Redemoinhos,Tourbillons de Poussière,Staubteufel,Diabły pyłowe,Пыльные вихри,尘卷风,Remolinos de polvo
Cold Waves,Ondas de Frio,Vagues de Froid,Kältewellen,Fale zimna,Аномальные холода,寒流,Olas de frío
Dust Storms,Tempestades de Areia,Tempêtes de Poussière,Staubstürme,Burze pyłowe,Пылевые бури,沙尘暴,Tormentas de polvo
Meteors,Meteoros,Météores,Meteoriten,Meteoryty,Метеороиды,陨石,Meteoritos
Metals,Metais,Métaux,Metalle,Metale,Металлы,金属,Metales
Rare Metals,Metais Raros,Métaux Rares,Edelmetalle,Rzadkie metale,Редкие металлы,稀有金属,Metales raros
Concrete,Concreto,Béton,Beton,Cement,Бетон,混凝土,Hormigón
Water,Água,Eau,Wasser,Woda,Вода,水资源,Agua
Topography,Topografia,Topographie,Topografie,Topografia,Топография,地形,Topografía
Location,Localização,Lieu,Ort,Położenie,Местоположение,位置,Lugar
Coordinates,Coordenadas,Coordonnées,Koordinaten,Współrzędne,Координаты:,坐标,Coordenadas
Breakthrough,Tecnologia Inovadora,Avancée technologique,Durchbruch,Przełom,Прорыв,突破性技术,Innovación
Temperature,Temperatura,Température,Temperatur,Temperatura,Температура,气温,Temperatura
Altitude,Altitude,Altitude,Höhenlage,Wysokość,Высота,海拔,Altitud
Resources,Recursos,Ressources,Ressourcen,Zasoby,Ресурсы,资源,Recursos
THREATS,AMEAÇAS,MENACES,BEDROHUNGEN,ZAGROŻENIA,УГРОЗЫ,威胁,AMENAZAS
Rating (ASC),Melhor avaliados,Par notes (Croissant),Bewertung (AUFSTEIGEND),Ocena (rosn.),Рейтинг (ВОЗР),评级（升序）,Puntuación (ASC)
Rating (DESC),Pior avaliados,Par notes (Décroissant),Bewertung (ABSTEIGEND),Ocena (mal.),Рейтинг (УБЫВ),评级（降序）,Puntuación (DESC)
